			KONFIRMASI PELUNASAN UNIT PARENTING TAMAN PALEM

Kepada Yth	:

Cabang		: PARENTING TAMAN PALEM

Perihal		: Konfirmasi Pelunasan Unit

Sesuai konfirmasi pelunasan ke Cabang FIF PARENTING TAMAN PALEM maka dengan ini kami beritahukan bahwa pada tanggal 2017-09-12 kami telah melakukan pelunasan ke rekening MANDIRI 1200000056007 an PT FIF sejumlah Rp.606.400.000 dengan rincian sebagai berikut:

No. Mesin	No. Distribusi		Nama Konsumen		HBM

JFV1E1551038	1230017SO00000197	DZACKY MOTOR	Rp.9.175.000
JFN1E1114159	1230017SO00000197	DZACKY MOTOR	Rp.5.225.000
JM21E1143521	1230017SO00000197	DZACKY MOTOR	Rp.9.175.000
JFX1E1024879	1230017SO00000197	DZACKY MOTOR	Rp.7.875.000
KF11E1832055	1230017SO00000197	DZACKY MOTOR	Rp.12.875.000
KF11E2107737	1230017SO00000197	DZACKY MOTOR	Rp.13.575.000
JFU1E1516379	1230017SO00000197	DZACKY MOTOR	Rp.11.175.000
G420ID772662	1230017SO00000197	DZACKY MOTOR	Rp.5.675.000
TOTAL							        Rp.606.400.000

Demikian konfirmasi pelunasan ke Cabang PARENTING TAMAN PALEM atas unit yang telah dilunasi, dan mohon ditindak lanjuti proses penagihannya. Atas kerjasamanya kami ucapkan terima kasih.

Hormat kami,
BMR
